港澳频道,#genre#
千禧经典台,http://cdn3.123.rr.kg/stream/live/tvbc/
八度空间,http://cdn6.123.rr.kg/163189/8tv
CH5,http://cdn6.123.rr.kg/163189/ch5
CH8,http://cdn6.123.rr.kg/163189/ch8
CHU,http://cdn6.123.rr.kg/163189/chu
TVB星河1,http://cdn3.123.rr.kg/stream/live/tvbxh/
TVB星河2,http://cdn6.123.rr.kg/163189/tvbxh
TVB星河3,http://cdn10.123.rr.kg/163189/xinghe/
华丽翡翠台1,http://cdn6.123.rr.kg/163189/hlfct
华丽翡翠台2,http://cdn3.123.rr.kg/stream/live/hlt/
华丽翡翠台(硬字幕),http://cdn6.123.rr.kg/163189/jade
华丽翡翠台(新加坡),http://cdn3.123.rr.kg/stream/live/jade/
翡翠剧集台,http://cdn6.123.rr.kg/163189/tvbd
翡翠台,http://cdn6.123.rr.kg/163189/fct
翡翠台(字幕),http://cdn3.123.rr.kg/stream/tvb/fct/
翡翠台4K(字幕),http://o11.163189.xyz/stream/tvb/fct4k/
天映频道,http://cdn3.123.rr.kg/stream/live/typd/
天映新加坡,http://cdn10.123.rr.kg/163189/typd/
AOD,http://cdn3.123.rr.kg/stream/live/aod/
欢喜台,http://cdn3.123.rr.kg/stream/live/hxt/
爱奇艺,http://cdn3.123.rr.kg/stream/live/iqiyi/
天映经典台,http://cdn3.123.rr.kg/stream/live/ccm/
天映经典台2,http://cdn10.123.rr.kg/163189/ccm/
TVB1,http://cdn6.123.rr.kg/163189/tvb1
TVBJ1,http://cdn6.123.rr.kg/163189/j1
TVB Plus(字幕),http://cdn3.123.rr.kg/stream/tvb/tvbp/
TVB Plus,https://smt.1678520.xyz/163189/tvbp
无线新闻台1,http://cdn6.123.rr.kg/163189/wxxw
无线新闻台2,http://cdn6.123.rr.kg/163189/wxxwt
明珠台(字幕),http://cdn3.123.rr.kg/stream/tvb/mzt/
TVB娱乐新闻台,http://cdn6.123.rr.kg/163189/ylxw
NOW新闻台,http://cdn.123.rr.kg/163189/now
TVB亚洲武侠,http://cdn6.123.rr.kg/163189/yzwx
ViuTV,http://cdn10.123.rr.kg/163189/viu/
ViuTVsix,http://cdn10.123.rr.kg/163189/viu6/
凤凰中文,http://cdn6.123.rr.kg/163189/fhzw
凤凰资讯,http://cdn6.123.rr.kg/163189/fhzx
凤凰香港,http://cdn6.123.rr.kg/163189/fhhk
HOY TV,http://cdn6.123.rr.kg/163189/hoy
HOY TV,http://cdn.123.rr.kg/163189/hoy
HOY资讯台,http://cdn.123.rr.kg/163189/hoy78
HOY国际财经台,https://cdn11.163189.xyz/163189/hoy76
RTHK31,http://cdn.123.rr.kg/163189/rthk31
RTHK32,http://cdn.123.rr.kg/163189/rthk32
澳视澳门,http://cdn6.123.rr.kg/163189/asam
澳视卫星,http://cdn6.123.rr.kg/163189/as
澳门体育,http://cdn6.123.rr.kg/163189/amty
澳门综艺,http://cdn6.123.rr.kg/163189/amzy
澳门莲花,http://cdn6.123.rr.kg/163189/amlh
Astro AEC,http://cdn3.123.rr.kg/stream/live/aec/
Astro QJ,http://cdn3.123.rr.kg/stream/live/qj/
翡翠台(WebVTT字幕),http://cdn10.123.rr.kg/163189/fct/
明珠台(WebVTT字幕),http://cdn10.123.rr.kg/163189/mzt/
TVB Plus(WebVTT字幕),http://cdn10.123.rr.kg/163189/tvbp/
黄金华剧台(WebVTT字幕),http://cdn10.123.rr.kg/163189/hjhjt/



卫央频道,#genre#
广东珠江,http://cdn2.123.rr.kg/163189/gdzj
广东体育,http://cdn2.123.rr.kg/163189/gdty
广州综合,http://cdn16.123.rr.kg/163189/gzzh
广州新闻,http://cdn16.123.rr.kg/163189/gzxw
广州南国都市,https://cdn15.163189.xyz/163189/ngds
cctv1港澳版,http://cdn6.123.rr.kg/163189/cctv1
cctv13,http://cdn10.123.rr.kg/163189/cctv13/
重温经典1,http://cdn6.123.rr.kg/163189/cwjd
重温经典2,http://cdn16.123.rr.kg/163189/cwjd
海峡卫视1,http://cdn10.123.rr.kg/163189/hxws/
海峡卫视2,http://cdn16.123.rr.kg/163189/hxws
五星体育1,https://cdn15.163189.xyz/163189/wxty
五星体育2,http://82.156.243.185:54321/kk.php?id=10&smg=1
CCTV1@,http://f.123.rr.kg/163189/cctv1
CCTV2@,http://f.123.rr.kg/163189/cctv2
CCTV3@,http://f.123.rr.kg/163189/cctv3
CCTV4@,http://f.123.rr.kg/163189/cctv4
CCTV5@,http://f.123.rr.kg/163189/cctv5
CCTV5@,http://f.123.rr.kg/163189/cctv5-2
CCTV5+@,http://f.123.rr.kg/163189/cctv5p
CCTV5+@,http://f.123.rr.kg/163189/cctv5p-2
CCTV6@,http://f.123.rr.kg/163189/cctv6
CCTV7@,http://f.123.rr.kg/163189/cctv7
CCTV8@,http://f.123.rr.kg/163189/cctv8
CCTV9@,http://f.123.rr.kg/163189/cctv9
CCTV10@,http://f.123.rr.kg/163189/cctv10
CCTV11@,http://f.123.rr.kg/163189/cctv11
CCTV12@,http://f.123.rr.kg/163189/cctv12
CCTV13@,http://f.123.rr.kg/163189/cctv13
CCTV14@,http://f.123.rr.kg/163189/cctv14
CCTV15@,http://f.123.rr.kg/163189/cctv15
CCTV16@,http://f.123.rr.kg/163189/cctv16
CCTV16@,http://f.123.rr.kg/163189/cctv16-2
CCTV17@,http://f.123.rr.kg/163189/cctv17
CCTV1,https://php.jdshipin.com/TVOD/iptv.php?id=cctv1
CCTV2,https://php.jdshipin.com/TVOD/iptv.php?id=cctv2
CCTV3,https://php.jdshipin.com/TVOD/iptv.php?id=cctv3
CCTV4,https://php.jdshipin.com/TVOD/iptv.php?id=cctv4
CCTV5,https://php.jdshipin.com/TVOD/iptv.php?id=cctv5
CCTV5,http://cdn16.123.rr.kg/163189/cctv5-2
CCTV5+,https://php.jdshipin.com/TVOD/iptv.php?id=cctv5p
CCTV5+,http://cdn16.123.rr.kg/163189/cctv5p-2
CCTV6,https://php.jdshipin.com/TVOD/iptv.php?id=cctv6
CCTV7,https://php.jdshipin.com/TVOD/iptv.php?id=cctv7
CCTV8,https://php.jdshipin.com/TVOD/iptv.php?id=cctv8
CCTV9,https://php.jdshipin.com/TVOD/iptv.php?id=cctv9
CCTV10,https://php.jdshipin.com/TVOD/iptv.php?id=cctv10
CCTV11,https://php.jdshipin.com/TVOD/iptv.php?id=cctv11
CCTV12,https://php.jdshipin.com/TVOD/iptv.php?id=cctv12
CCTV13,https://php.jdshipin.com/TVOD/iptv.php?id=cctv13
CCTV14,https://php.jdshipin.com/TVOD/iptv.php?id=cctv14
CCTV15,https://php.jdshipin.com/TVOD/iptv.php?id=cctv15
CCTV16,https://php.jdshipin.com/TVOD/iptv.php?id=cctv16
CCTV17,https://php.jdshipin.com/TVOD/iptv.php?id=cctv17



台湾频道,#genre#
东森电影,https://smt.1678520.xyz/163189/dsdy
东森戏剧,https://smt.1678520.xyz/163189/dsxj
东森洋片,https://smt.1678520.xyz/163189/dsyp
靖天映画,https://cdn12.178.indevs.in/163189/jtyh
靖天戏剧台,https://cdn12.178.indevs.in/163189/jtxj
靖天电影台,https://cdn12.178.indevs.in/163189/jtdy
靖洋戏剧台,https://cdn12.178.indevs.in/163189/jyxj
龙华电影,http://cdn8.123.rr.kg/163189/lhdy
龙华经典,http://cdn8.123.rr.kg/163189/lhjd
龙华偶像,http://cdn8.123.rr.kg/163189/lhox
龙华日韩,http://cdn8.123.rr.kg/163189/lhrh
龙华戏剧,http://cdn8.123.rr.kg/163189/lhxj
龙华洋片,http://cdn8.123.rr.kg/163189/lhyp
龙华卡通,http://cdn8.123.rr.kg/163189/lhkt
龙祥时代,https://smt.1678520.xyz/163189/lxsd
纬来电影台,https://smt.1678520.xyz/163189/wldy
纬来戏剧台,https://smt.1678520.xyz/163189/wlxj
纬来体育台,https://smt.1678520.xyz/163189/wlty
民视影剧台,https://cdn12.178.indevs.in/163189/msyj
公视戏剧,https://cdn12.178.indevs.in/163189/gsxj
采昌影剧台,https://cdn12.178.indevs.in/163189/ccyj
影迷数位电影台,https://cdn12.178.indevs.in/163189/ymswdyt
amc电影台,https://cdn12.178.indevs.in/163189/amc
CinemaWorld,https://cdn12.178.indevs.in/163189/cinemaworld
My Cinema Europe,https://cdn12.178.indevs.in/163189/mce
经典电影台,https://cdn12.178.indevs.in/163189/jddyt
CMusic,https://cdn12.178.indevs.in/163189/cmusic
DreamWorks梦工厂动画,https://cdn12.178.indevs.in/163189/dreamworks
精选动漫台,https://cdn12.178.indevs.in/163189/jxdmt
金光布袋戏1,https://cdn12.178.indevs.in/163189/jgbdx
金光布袋戏2,http://cdn3.123.rr.kg/stream/live/jgbdx/



CDN频道,#genre#
八度空间B,https://cdn.qd.je/163189.php?id=8tv
CH8B,https://cdn.qd.je/163189.php?id=ch8
CH5B,https://cdn.qd.je/163189.php?id=ch5
CHUB,https://cdn.qd.je/163189.php?id=chu
亚洲武侠B,https://cdn.qd.je/163189.php?id=yzwx
TVB星河B,https://cdn.qd.je/163189.php?id=xinghe
天映频道(新加坡)B,https://cdn.qd.je/163189.php?id=typd
天映经典B,https://cdn.qd.je/163189.php?id=ccm
华丽翡翠台(硬字幕)B,https://cdn.qd.je/163189.php?id=jade
TVBj1B,https://cdn.qd.je/163189.php?id=j1
翡翠剧集台B,https://cdn.qd.je/163189.php?id=tvbd
翡翠台B,https://cdn.qd.je/163189.php?id=fct
无线新闻台B,https://cdn.qd.je/163189.php?id=wxxw
广东珠江B,https://cdn.qd.je/163189.php?id=gdzj
广东体育B,https://cdn.qd.je/163189.php?id=gdty
凤凰中文B,https://cdn.qd.je/163189.php?id=fhzw
凤凰资讯B,https://cdn.qd.je/163189.php?id=fhzx
凤凰香港B,https://cdn.qd.je/163189.php?id=fhhk
TVB1B,https://cdn.qd.je/163189.php?id=tvb1
HOY TVB,https://cdn.qd.je/163189.php?id=hoy
